---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|DATE_TIME        |WEEK   |DAY|DATE_     |TIME    |HOUR|EVENT                             |WAITED_SECONDS|WAITED_MINUTES|WAITED_HOURS|ACTIVE_SESSIONS|WAITS  |AVG_MS    |INST_ID|OBJECT_NAMES                                                                                                                                               |
|2019-05-09  18 ->|2019-19|Thu|2019-05-09|18:00:00|18  |db file sequential read           |         4.838|            81|1.34        |1.36           |819000 |5.91      |      1|/BIC/FZRTABR90,6340296,15%;/BIC/FZRTABR90,3250194,7%                                                                                                       |
|2019-05-09  17 ->|2019-19|Thu|2019-05-09|17:00:00|17  |direct path read                  |        26.895|           448|7.47        |7.43           |688373 |39.07     |      1|/BIC/FZRTABR90,6868654,23%;/BIC/FZRTABR90,3521180,12%;/BIC/FZRTABR90,2151916,7%;/BIC/FZRTABR02,2087008,7%                                                  |
|2019-05-09  17 ->|2019-19|Thu|2019-05-09|17:00:00|17  |CPU                               |         6.083|           101|1.69        |1.68           |       |          |      1|/BIC/FZRTABR90,6868896,10%;/BIC/AZFIGLD2000~0,4220176,6%;/BI0/E0FIGL_C10,3637376,5%;/BIC/FZRTABR90,3521440,5%;/BIC/B0001847000,3517856,5%                  |
|2019-05-09  17 ->|2019-19|Thu|2019-05-09|17:00:00|17  |log file sync                     |         5.479|            91|1.52        |1.51           |56090  |97.67     |      1|/BIC/B0001847000,2008400,17%;/BIC/AZFIGLD2000,1490048,13%;/BIC/B0000208000,1278688,11%;/BIC/AZFIGLD2040,1159856,10%;/BIC/AZFIGLA0100,1155920,10%           |
|2019-05-09  17 ->|2019-19|Thu|2019-05-09|17:00:00|17  |db file sequential read           |         5.006|            83|1.39        |1.38           |2126186|2.35      |      1|/BIC/FZRTABR90,6868654,22%;/BIC/FZRTABR90,3521180,11%;/BIC/FZRTABR90,2151916,7%;/BIC/FZRTABR02,2087008,7%                                                  |
|2019-05-09  17 ->|2019-19|Thu|2019-05-09|17:00:00|17  |log buffer space                  |         4.634|            77|1.29        |1.28           |8606   |538.43    |      1|                                                                                                                                                           |
|2019-05-09  17 ->|2019-19|Thu|2019-05-09|17:00:00|17  |OTHER                             |         4.033|            67|1.12        |1.11           |       |          |      1|                                                                                                                                                           |
|2019-05-09  16 ->|2019-19|Thu|2019-05-09|16:00:00|16  |direct path read                  |        26.958|           449|7.49        |7.46           |666150 |40.47     |      1|/BIC/FZRTABR90,6868654,15%;/BIC/FZRTABR90,3521180,8%                                                                                                       |
|2019-05-09  16 ->|2019-19|Thu|2019-05-09|16:00:00|16  |CPU                               |         4.737|            79|1.32        |1.31           |       |          |      1|/BIC/FZRTABR90,6868880,13%;/BIC/FZRTABR90,3521472,7%                                                                                                       |
|2019-05-09  16 ->|2019-19|Thu|2019-05-09|16:00:00|16  |log buffer space                  |         3.887|            65|1.08        |1.07           |6910   |562.48    |      1|                                                                                                                                                           |
|2019-05-09  16 ->|2019-19|Thu|2019-05-09|16:00:00|16  |OTHER                             |         3.590|            60|1           |.99            |       |          |      1|                                                                                                                                                           |
|2019-05-09  15 ->|2019-19|Thu|2019-05-09|15:00:00|15  |direct path read                  |        25.761|           429|7.16        |7.24           |655381 |39.31     |      1|/BIC/FZRTABR90,6868654,15%;/BIC/FZRTABR90,3521180,8%                                                                                                       |
|2019-05-09  15 ->|2019-19|Thu|2019-05-09|15:00:00|15  |CPU                               |         4.772|            80|1.33        |1.34           |       |          |      1|/BIC/FZRTABR90,6868944,13%;/BIC/FZRTABR90,3521488,7%                                                                                                       |
|2019-05-09  15 ->|2019-19|Thu|2019-05-09|15:00:00|15  |log buffer space                  |         3.033|            51|.84         |.85            |6427   |471.91    |      1|                                                                                                                                                           |
|2019-05-09  15 ->|2019-19|Thu|2019-05-09|15:00:00|15  |OTHER                             |         3.004|            50|.83         |.84            |       |          |      1|                                                                                                                                                           |
|2019-05-09  14 ->|2019-19|Thu|2019-05-09|14:00:00|14  |direct path read                  |        26.444|           441|7.35        |7.31           |656196 |40.3      |      1|/BIC/FZRTABR90,6868654,15%;/BIC/FZRTABR90,3521180,8%                                                                                                       |
|2019-05-09  14 ->|2019-19|Thu|2019-05-09|14:00:00|14  |CPU                               |         4.720|            79|1.31        |1.3            |       |          |      1|/BIC/FZRTABR90,6868880,13%;/BIC/FZRTABR90,3521408,7%                                                                                                       |
|2019-05-09  14 ->|2019-19|Thu|2019-05-09|14:00:00|14  |log buffer space                  |         3.517|            59|.98         |.97            |6720   |523.4     |      1|                                                                                                                                                           |
|2019-05-09  14 ->|2019-19|Thu|2019-05-09|14:00:00|14  |OTHER                             |         3.214|            54|.89         |.89            |       |          |      1|                                                                                                                                                           |
|2019-05-09  13 ->|2019-19|Thu|2019-05-09|13:00:00|13  |direct path read                  |        27.683|           461|7.69        |7.65           |702130 |39.43     |      1|/BIC/FZRTABR90,6868654,15%;/BIC/FZRTABR90,3521180,8%                                                                                                       |
|2019-05-09  13 ->|2019-19|Thu|2019-05-09|13:00:00|13  |CPU                               |         5.649|            94|1.57        |1.56           |       |          |      1|/BIC/FZRTABR90,6868880,13%;/BIC/FZRTABR90,3521408,7%                                                                                                       |
|2019-05-09  13 ->|2019-19|Thu|2019-05-09|13:00:00|13  |OTHER                             |         4.068|            68|1.13        |1.12           |       |          |      1|                                                                                                                                                           |
|2019-05-09  13 ->|2019-19|Thu|2019-05-09|13:00:00|13  |log buffer space                  |         4.039|            67|1.12        |1.12           |7476   |540.23    |      1|                                                                                                                                                           |
|2019-05-09  12 ->|2019-19|Thu|2019-05-09|12:00:00|12  |direct path read                  |        32.932|           549|9.15        |9.26           |874788 |37.65     |      1|/BIC/FZRTABR90,6868020,15%;/BIC/FZRTABR90,3521054,8%                                                                                                       |
|2019-05-09  12 ->|2019-19|Thu|2019-05-09|12:00:00|12  |log file sync                     |        20.579|           343|5.72        |5.79           |234783 |87.65     |      1|NRIV,575888,26%;SEG$,211648,9%;/BIC/FZFIGLR08,150624,7%                                                                                                    |
|2019-05-09  12 ->|2019-19|Thu|2019-05-09|12:00:00|12  |CPU                               |         8.433|           141|2.34        |2.37           |       |          |      1|/BIC/FZRTABR90,6868768,12%;/BI0/E0FIGL_C10,3523344,6%;/BIC/FZRTABR90,3521440,6%                                                                            |
|2019-05-09  12 ->|2019-19|Thu|2019-05-09|12:00:00|12  |OTHER                             |         8.213|           137|2.28        |2.31           |       |          |      1|                                                                                                                                                           |
|2019-05-09  12 ->|2019-19|Thu|2019-05-09|12:00:00|12  |log buffer space                  |         4.769|            79|1.32        |1.34           |9462   |503.97    |      1|                                                                                                                                                           |
|2019-05-09  11 ->|2019-19|Thu|2019-05-09|11:00:00|11  |direct path read                  |        32.115|           535|8.92        |8.88           |816542 |39.33     |      1|/BIC/FZRTABR90,6868654,19%;/BIC/FZRTABR90,3521180,10%;/BIC/FZRTABR90,2151916,6%;/BIC/FZRTABR02,2087008,6%                                                  |
