---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|DATE_TIME        |WEEK   |DAY|DATE_     |TIME    |HOUR|EVENT                             |WAITED_SECONDS|WAITED_MINUTES|WAITED_HOURS|ACTIVE_SESSIONS|WAITS  |AVG_MS    |INST_ID|OBJECT_NAMES                                                                                                                                               |
|2019-05-08  06 ->|2019-19|Wed|2019-05-08|06:00:00|06  |direct path read                  |         4.186|            70|1.16        |1.18           |189165 |22.13     |      1|/BIC/FZFIGLR08,733838,13%;/BIC/FZFIGLR08,591752,11%;/BIC/FZFIGLR08,567966,10%;/BIC/FZFIGLR08,530502,10%;/BIC/FZFIGLR08,530488,10%                          |
|2019-05-08  06 ->|2019-19|Wed|2019-05-08|06:00:00|06  |enq: TX - row lock contention     |         3.684|            61|1.02        |1.04           |1293837|2.85      |      1|NRIV,1292315,100%                                                                                                                                          |
|2019-05-08  06 ->|2019-19|Wed|2019-05-08|06:00:00|06  |NETWORK                           |         2.787|            46|.77         |.78            |6966407|.4        |      1|                                                                                                                                                           |
|2019-05-08  06 ->|2019-19|Wed|2019-05-08|06:00:00|06  |CPU                               |         2.212|            37|.61         |.62            |       |          |      1|/BIC/DZRTABR90B~01,6276704,9%;NRIV,5800496,9%;NRIV~0,5540176,8%                                                                                            |
|2019-05-08  06 ->|2019-19|Wed|2019-05-08|06:00:00|06  |OTHER                             |           814|            14|.23         |.23            |       |          |      1|                                                                                                                                                           |
|2019-05-08  05 ->|2019-19|Wed|2019-05-08|05:00:00|05  |log file sync                     |        16.697|           278|4.64        |4.62           |327130 |51.04     |      1|/BIC/AZFIGLD2000~0,4530800,21%;/BIC/AZRTABW0100~0,3004672,14%;/BIC/B0001904000,1652368,8%;/BIC/AZRTABA0100,1649440,8%                                      |
|2019-05-08  05 ->|2019-19|Wed|2019-05-08|05:00:00|05  |direct path read                  |        13.829|           230|3.84        |3.82           |371982 |37.18     |      1|/BIC/FZFIGLR07,2076046,20%;/BIC/FZFIGLR07,1339058,13%;/BIC/FZFIGLR07,1283758,13%;/BIC/FZFIGLR07,1271286,12%;/BIC/FZFIGLR07,1234268,12%                     |
|2019-05-08  05 ->|2019-19|Wed|2019-05-08|05:00:00|05  |OTHER                             |         8.870|           148|2.46        |2.45           |       |          |      1|                                                                                                                                                           |
|2019-05-08  05 ->|2019-19|Wed|2019-05-08|05:00:00|05  |CPU                               |         4.863|            81|1.35        |1.34           |       |          |      1|/BIC/AZRTABW0100~0,3508704,6%;/BIC/AZRTABA0100,3253232,5%;/BIC/B0001904000,3192512,5%                                                                      |
|2019-05-08  05 ->|2019-19|Wed|2019-05-08|05:00:00|05  |enq: CR - block range reuse ckpt  |         2.369|            39|.66         |.66            |74560  |31.77     |      1|                                                                                                                                                           |
|2019-05-08  04 ->|2019-19|Wed|2019-05-08|04:00:00|04  |NETWORK                           |         1.112|            19|.31         |.31            |2780080|.4        |      1|                                                                                                                                                           |
|2019-05-08  04 ->|2019-19|Wed|2019-05-08|04:00:00|04  |CPU                               |           778|            13|.22         |.22            |       |          |      1|RSSTATMANPSA,9646400,22%;/BI0/HPLANT~0,4906704,11%;/BI0/HPLANT,3507280,8%;/BI0/IPLANT~001,2811920,6%;TBTCO,2640320,6%                                      |
|2019-05-08  04 ->|2019-19|Wed|2019-05-08|04:00:00|04  |log file sync                     |           516|             9|.14         |.14            |73929  |6.97      |      1|/BI0/HPLANT,3202272,36%;/BI0/HPLANT~0,1641856,19%;/BI0/IPLANT,1570512,18%;/BI0/IPLANT~001,1041232,12%;/BI0/HPLANT~PAR,642496,7%                            |
|2019-05-08  04 ->|2019-19|Wed|2019-05-08|04:00:00|04  |OTHER                             |           248|             4|.07         |.07            |       |          |      1|                                                                                                                                                           |
|2019-05-08  04 ->|2019-19|Wed|2019-05-08|04:00:00|04  |local write wait                  |           155|             3|.04         |.04            |14341  |10.79     |      1|                                                                                                                                                           |
|2019-05-08  03 ->|2019-19|Wed|2019-05-08|03:00:00|03  |CPU                               |           122|             2|.03         |.03            |       |          |      1|EDIDC,1540656,75%                                                                                                                                          |
|2019-05-08  03 ->|2019-19|Wed|2019-05-08|03:00:00|03  |NETWORK                           |            29|             0|.01         |.01            |73213  |.4        |      1|                                                                                                                                                           |
|2019-05-08  03 ->|2019-19|Wed|2019-05-08|03:00:00|03  |log file sync                     |             9|             0|0           |0              |2005   |4.52      |      1|RSPCLOGCHAIN,2032,39%;TBTCO~9,640,12%;TBTCO~8,560,11%;TBTCO~3,496,9%;TBTCO,432,8%                                                                          |
|2019-05-08  03 ->|2019-19|Wed|2019-05-08|03:00:00|03  |OTHER                             |             2|             0|0           |0              |       |          |      1|                                                                                                                                                           |
|2019-05-08  02 ->|2019-19|Wed|2019-05-08|02:00:00|02  |direct path read                  |           562|             9|.16         |.16            |18589  |30.24     |      1|/BIC/FZGLANDNI,1350288,49%;/BIC/FZGLANDNI,198729,7%;/BIC/FZGLANDNI,156384,6%                                                                               |
|2019-05-08  02 ->|2019-19|Wed|2019-05-08|02:00:00|02  |CPU                               |           315|             5|.09         |.09            |       |          |      1|EDIDC,1540656,20%;/BIC/FZGLANDNI,1350432,17%;/BI0/PCOSTCENTER,639760,8%;REFCON$,633552,8%                                                                  |
|2019-05-08  02 ->|2019-19|Wed|2019-05-08|02:00:00|02  |OTHER                             |           151|             3|.04         |.04            |       |          |      1|                                                                                                                                                           |
|2019-05-08  02 ->|2019-19|Wed|2019-05-08|02:00:00|02  |NETWORK                           |           134|             2|.04         |.04            |334819 |.4        |      1|                                                                                                                                                           |
|2019-05-08  02 ->|2019-19|Wed|2019-05-08|02:00:00|02  |log file sync                     |            97|             2|.03         |.03            |5464   |17.82     |      1|ZNOT_INC~0,104272,37%;ZNOT_INC,97856,34%;/BIC/B0001543000~0,18160,6%                                                                                       |
|2019-05-08  01 ->|2019-19|Wed|2019-05-08|01:00:00|01  |direct path write temp            |           261|             4|.07         |.07            |62149  |4.2       |      1|                                                                                                                                                           |
|2019-05-08  01 ->|2019-19|Wed|2019-05-08|01:00:00|01  |CPU                               |           207|             3|.06         |.06            |       |          |      1|EDIDC,1540528,21%;COL$,1425024,19%;I_OBJ#,719024,10%;SYS_LOB0000078244C00005$$,512176,7%                                                                   |
|2019-05-08  01 ->|2019-19|Wed|2019-05-08|01:00:00|01  |NETWORK                           |           116|             2|.03         |.03            |290438 |.4        |      1|                                                                                                                                                           |
|2019-05-08  01 ->|2019-19|Wed|2019-05-08|01:00:00|01  |OTHER                             |            25|             0|.01         |.01            |       |          |      1|                                                                                                                                                           |
|2019-05-08  00 ->|2019-19|Wed|2019-05-08|00:00:00|00  |NETWORK                           |           270|             5|.08         |.07            |675713 |.4        |      1|                                                                                                                                                           |
|2019-05-08  00 ->|2019-19|Wed|2019-05-08|00:00:00|00  |CPU                               |           227|             4|.06         |.06            |       |          |      1|EDIDC,1540512,35%;TBTCO~3,600512,14%;TBTCO,361424,8%;WRI$_ADV_OBJECTS,271664,6%;TBTCO~0,233456,5%                                                          |
|2019-05-08  00 ->|2019-19|Wed|2019-05-08|00:00:00|00  |direct path write temp            |            37|             1|.01         |.01            |9383   |3.97      |      1|                                                                                                                                                           |
|2019-05-08  00 ->|2019-19|Wed|2019-05-08|00:00:00|00  |OTHER                             |            30|             0|.01         |.01            |       |          |      1|                                                                                                                                                           |
|2019-05-07  23 ->|2019-19|Tue|2019-05-07|23:00:00|23  |CPU                               |           159|             3|.04         |.04            |       |          |      1|EDIDC,1599520,61%                                                                                                                                          |
|2019-05-07  23 ->|2019-19|Tue|2019-05-07|23:00:00|23  |NETWORK                           |            60|             1|.02         |.02            |149123 |.4        |      1|                                                                                                                                                           |
|2019-05-07  23 ->|2019-19|Tue|2019-05-07|23:00:00|23  |log file sync                     |            16|             0|0           |0              |2326   |7.09      |      1|TBTCO~9,880,29%;TBTCO~8,608,20%;TBTCO,592,19%;TBTCP,272,9%;BTCCTL,240,8%                                                                                   |
|2019-05-07  23 ->|2019-19|Tue|2019-05-07|23:00:00|23  |OTHER                             |             9|             0|0           |0              |       |          |      1|                                                                                                                                                           |
|2019-05-07  22 ->|2019-19|Tue|2019-05-07|22:00:00|22  |CPU                               |         3.267|            54|.91         |.9             |       |          |      1|WRH$_ACTIVE_SESSION_HISTORY,120220688,45%;COL$,51924816,20%;SEG$,46907392,18%                                                                              |
|2019-05-07  22 ->|2019-19|Tue|2019-05-07|22:00:00|22  |db file scattered read            |           407|             7|.11         |.11            |93066  |4.37      |      1|WRH$_SEG_STAT_OBJ_PK,4057,65%;WRI$_ADV_REC_ACTIONS_PK,2153,35%                                                                                             |
|2019-05-07  22 ->|2019-19|Tue|2019-05-07|22:00:00|22  |OTHER                             |           365|             6|.1          |.1             |       |          |      1|                                                                                                                                                           |
|2019-05-07  21 ->|2019-19|Tue|2019-05-07|21:00:00|21  |direct path read                  |        25.621|           427|7.12        |7.2            |647270 |39.58     |      1|/BIC/FZRTABR90,6868654,15%;/BIC/FZRTABR90,3521180,8%                                                                                                       |
|2019-05-07  21 ->|2019-19|Tue|2019-05-07|21:00:00|21  |CPU                               |         4.602|            77|1.28        |1.29           |       |          |      1|/BIC/FZRTABR90,6868864,13%;/BIC/FZRTABR90,3521536,7%                                                                                                       |
|2019-05-07  21 ->|2019-19|Tue|2019-05-07|21:00:00|21  |log buffer space                  |         2.925|            49|.81         |.82            |6300   |464.31    |      1|                                                                                                                                                           |
|2019-05-07  21 ->|2019-19|Tue|2019-05-07|21:00:00|21  |OTHER                             |         2.765|            46|.77         |.78            |       |          |      1|                                                                                                                                                           |
|2019-05-07  20 ->|2019-19|Tue|2019-05-07|20:00:00|20  |direct path read                  |        60.602|         1.010|16.83       |16.73          |1160157|52.24     |      1|/BIC/FZRTABR90,6868654,16%;/BIC/FZRTABR90,3521180,8%;/BIC/FZRTABR90,2151916,5%                                                                             |
|2019-05-07  20 ->|2019-19|Tue|2019-05-07|20:00:00|20  |log buffer space                  |        14.083|           235|3.91        |3.89           |18761  |750.67    |      1|                                                                                                                                                           |
|2019-05-07  20 ->|2019-19|Tue|2019-05-07|20:00:00|20  |OTHER                             |        13.984|           233|3.88        |3.86           |       |          |      1|                                                                                                                                                           |
|2019-05-07  20 ->|2019-19|Tue|2019-05-07|20:00:00|20  |log file sync                     |         9.398|           157|2.61        |2.59           |36263  |259.17    |      1|I_OBJ1,4115328,70%;SEG$,649664,11%                                                                                                                         |
|2019-05-07  20 ->|2019-19|Tue|2019-05-07|20:00:00|20  |CPU                               |         7.705|           128|2.14        |2.13           |       |          |      1|/BIC/FZRTABR90,6868880,13%;/BIC/FZRTABR90,3521488,7%                                                                                                       |
|2019-05-07  19 ->|2019-19|Tue|2019-05-07|19:00:00|19  |direct path read                  |        43.808|           730|12.17       |12.1           |1029420|42.56     |      1|/BIC/FZRTABR90,6340296,18%;/BIC/FZRTABR90,3250320,9%;/BIC/FZFIGLR07,2076046,6%;/BIC/FZRTABR90,1986384,6%                                                   |
|2019-05-07  19 ->|2019-19|Tue|2019-05-07|19:00:00|19  |log buffer space                  |         9.087|           151|2.52        |2.51           |13184  |689.27    |      1|                                                                                                                                                           |
|2019-05-07  19 ->|2019-19|Tue|2019-05-07|19:00:00|19  |OTHER                             |         9.045|           151|2.51        |2.5            |       |          |      1|                                                                                                                                                           |
|2019-05-07  19 ->|2019-19|Tue|2019-05-07|19:00:00|19  |CPU                               |         7.819|           130|2.17        |2.16           |       |          |      1|/BIC/FZRTABR90,6340608,11%;/BIC/FZRTABR90,3250608,6%                                                                                                       |
|2019-05-07  19 ->|2019-19|Tue|2019-05-07|19:00:00|19  |log file sync                     |         6.083|           101|1.69        |1.68           |41160  |147.78    |      1|I_OBJ1,2600336,51%;SEG$,695520,14%                                                                                                                         |
|2019-05-07  19 ->|2019-19|Tue|2019-05-07|19:00:00|19  |enq: CR - block range reuse ckpt  |         5.545|            92|1.54        |1.53           |71108  |77.98     |      1|                                                                                                                                                           |
|2019-05-07  18 ->|2019-19|Tue|2019-05-07|18:00:00|18  |direct path read                  |        41.855|           698|11.63       |11.75          |983718 |42.55     |      1|/BIC/FZRTABR90,5547759,16%;/BIC/FZRTABR90,2844030,8%;/BIC/FZRTABR02,2087008,6%;/BIC/FZFIGLR07,2076046,6%;/BIC/FZRTABR90,1738086,5%                         |
|2019-05-07  18 ->|2019-19|Tue|2019-05-07|18:00:00|18  |CPU                               |         7.988|           133|2.22        |2.24           |       |          |      1|/BIC/FZRTABR90,5547984,11%;/BIC/FZRTABR90,2844240,5%                                                                                                       |
|2019-05-07  18 ->|2019-19|Tue|2019-05-07|18:00:00|18  |log buffer space                  |         7.151|           119|1.99        |2.01           |12114  |590.28    |      1|                                                                                                                                                           |
|2019-05-07  18 ->|2019-19|Tue|2019-05-07|18:00:00|18  |OTHER                             |         6.702|           112|1.86        |1.88           |       |          |      1|                                                                                                                                                           |
|2019-05-07  18 ->|2019-19|Tue|2019-05-07|18:00:00|18  |log file sync                     |         6.097|           102|1.69        |1.71           |48244  |126.37    |      1|I_OBJ1,2146432,50%;SEG$,670896,16%                                                                                                                         |
|2019-05-07  18 ->|2019-19|Tue|2019-05-07|18:00:00|18  |enq: CR - block range reuse ckpt  |         4.517|            75|1.25        |1.27           |71846  |62.87     |      1|                                                                                                                                                           |
|2019-05-07  17 ->|2019-19|Tue|2019-05-07|17:00:00|17  |direct path read                  |        40.864|           681|11.35       |11.29          |984999 |41.49     |      1|/BIC/FZRTABR90,5761265,17%;/BIC/FZRTABR90,2931608,9%;/BIC/FZRTABR02,2087008,6%;/BIC/FZFIGLR07,2076046,6%;/BIC/FZRTABR90,1772184,5%                         |
|2019-05-07  17 ->|2019-19|Tue|2019-05-07|17:00:00|17  |OTHER                             |         8.089|           135|2.25        |2.23           |       |          |      1|                                                                                                                                                           |
|2019-05-07  17 ->|2019-19|Tue|2019-05-07|17:00:00|17  |enq: CR - block range reuse ckpt  |         7.652|           128|2.13        |2.11           |71694  |106.74    |      1|                                                                                                                                                           |
|2019-05-07  17 ->|2019-19|Tue|2019-05-07|17:00:00|17  |CPU                               |         7.571|           126|2.1         |2.09           |       |          |      1|/BIC/FZRTABR90,5761712,11%;/BIC/FZRTABR90,2932160,6%                                                                                                       |
|2019-05-07  17 ->|2019-19|Tue|2019-05-07|17:00:00|17  |log buffer space                  |         5.871|            98|1.63        |1.62           |10249  |572.87    |      1|                                                                                                                                                           |
|2019-05-07  17 ->|2019-19|Tue|2019-05-07|17:00:00|17  |log file sync                     |         4.176|            70|1.16        |1.15           |36355  |114.86    |      1|I_OBJ1,2525040,56%;SEG$,654096,15%                                                                                                                         |
|2019-05-07  16 ->|2019-19|Tue|2019-05-07|16:00:00|16  |direct path read                  |        53.714|           895|14.92       |14.83          |1191531|45.08     |      1|/BIC/FZRTABR90,6390591,15%;/BIC/FZRTABR90,3298172,8%;/BIC/FZFIGLR07,2669202,6%                                                                             |
|2019-05-07  16 ->|2019-19|Tue|2019-05-07|16:00:00|16  |OTHER                             |        14.402|           240|4           |3.98           |       |          |      1|                                                                                                                                                           |
|2019-05-07  16 ->|2019-19|Tue|2019-05-07|16:00:00|16  |log buffer space                  |         9.182|           153|2.55        |2.54           |13239  |693.58    |      1|                                                                                                                                                           |
|2019-05-07  16 ->|2019-19|Tue|2019-05-07|16:00:00|16  |CPU                               |         7.618|           127|2.12        |2.1            |       |          |      1|/BIC/FZRTABR90,6390928,11%;/BIC/FZRTABR90,3298064,6%                                                                                                       |
|2019-05-07  16 ->|2019-19|Tue|2019-05-07|16:00:00|16  |log file sync                     |         6.867|           114|1.91        |1.9            |32977  |208.23    |      1|I_OBJ1,4107248,71%;SEG$,674688,12%                                                                                                                         |
|2019-05-07  15 ->|2019-19|Tue|2019-05-07|15:00:00|15  |direct path read                  |        48.924|           815|13.59       |13.73          |1132437|43.2      |      1|/BIC/FZRTABR90,6604349,17%;/BIC/FZRTABR90,3385750,9%;/BIC/FZFIGLR07,2076046,5%;/BIC/FZRTABR90,2069023,5%                                                   |
|2019-05-07  15 ->|2019-19|Tue|2019-05-07|15:00:00|15  |OTHER                             |         9.203|           153|2.56        |2.58           |       |          |      1|                                                                                                                                                           |
|2019-05-07  15 ->|2019-19|Tue|2019-05-07|15:00:00|15  |log buffer space                  |         8.279|           138|2.3         |2.32           |13651  |606.48    |      1|                                                                                                                                                           |
|2019-05-07  15 ->|2019-19|Tue|2019-05-07|15:00:00|15  |CPU                               |         8.023|           134|2.23        |2.25           |       |          |      1|/BIC/FZRTABR90,6604512,12%;/BIC/FZRTABR90,3386000,6%                                                                                                       |
|2019-05-07  15 ->|2019-19|Tue|2019-05-07|15:00:00|15  |db file sequential read           |         6.253|           104|1.74        |1.75           |691690 |9.04      |      1|/BIC/FZRTABR90,6604349,17%;/BIC/FZRTABR90,3385750,9%;/BIC/FZFIGLR07,2076046,5%;/BIC/FZRTABR90,2069023,5%                                                   |
|2019-05-07  15 ->|2019-19|Tue|2019-05-07|15:00:00|15  |enq: CR - block range reuse ckpt  |         5.426|            90|1.51        |1.52           |68489  |79.22     |      1|                                                                                                                                                           |
|2019-05-07  14 ->|2019-19|Tue|2019-05-07|14:00:00|14  |direct path read                  |        45.485|           758|12.63       |12.56          |1090249|41.72     |      1|/BIC/FZFIGLR07,3707225,8%;/BIC/FZRTABR90,3697488,8%;/BIC/FZFIGLR07,2391175,5%;/BIC/FZFIGLR07,2292425,5%;/BIC/FZFIGLR07,2270375,5%                          |
|2019-05-07  14 ->|2019-19|Tue|2019-05-07|14:00:00|14  |OTHER                             |        10.051|           168|2.79        |2.77           |       |          |      1|                                                                                                                                                           |
|2019-05-07  14 ->|2019-19|Tue|2019-05-07|14:00:00|14  |enq: CR - block range reuse ckpt  |         7.481|           125|2.08        |2.07           |77095  |97.03     |      1|                                                                                                                                                           |
|2019-05-07  14 ->|2019-19|Tue|2019-05-07|14:00:00|14  |CPU                               |         7.372|           123|2.05        |2.04           |       |          |      1|/BIC/FZFIGLR07,3707552,6%;/BIC/FZRTABR90,3697696,6%                                                                                                        |
|2019-05-07  14 ->|2019-19|Tue|2019-05-07|14:00:00|14  |log buffer space                  |         6.502|           108|1.81        |1.8            |10008  |649.73    |      1|                                                                                                                                                           |
|2019-05-07  14 ->|2019-19|Tue|2019-05-07|14:00:00|14  |log file sync                     |         6.496|           108|1.8         |1.79           |38598  |168.29    |      1|I_OBJ1,2959168,57%;SEG$,799840,15%                                                                                                                         |
|2019-05-07  13 ->|2019-19|Tue|2019-05-07|13:00:00|13  |direct path read                  |        48.383|           806|13.44       |13.58          |1102575|43.88     |      1|/BIC/FZRTABR90,6868276,16%;/BIC/FZRTABR90,3521054,8%;/BIC/FZRTABR90,2151916,5%                                                                             |
|2019-05-07  13 ->|2019-19|Tue|2019-05-07|13:00:00|13  |log buffer space                  |        11.225|           187|3.12        |3.15           |15042  |746.26    |      1|                                                                                                                                                           |
|2019-05-07  13 ->|2019-19|Tue|2019-05-07|13:00:00|13  |OTHER                             |         8.212|           137|2.28        |2.3            |       |          |      1|                                                                                                                                                           |
|2019-05-07  13 ->|2019-19|Tue|2019-05-07|13:00:00|13  |CPU                               |         7.751|           129|2.15        |2.18           |       |          |      1|/BIC/FZRTABR90,6868816,12%;/BIC/FZRTABR90,3521472,6%                                                                                                       |
|2019-05-07  13 ->|2019-19|Tue|2019-05-07|13:00:00|13  |enq: CR - block range reuse ckpt  |         5.645|            94|1.57        |1.58           |63546  |88.83     |      1|                                                                                                                                                           |
|2019-05-07  13 ->|2019-19|Tue|2019-05-07|13:00:00|13  |log file sync                     |         5.486|            91|1.52        |1.54           |29950  |183.19    |      1|I_OBJ1,2808080,66%;SEG$,570896,13%                                                                                                                         |
|2019-05-07  12 ->|2019-19|Tue|2019-05-07|12:00:00|12  |direct path read                  |        46.435|           774|12.9        |12.81          |1092467|42.51     |      1|/BIC/AZRTABA0100,9144490,23%;/BIC/FZRTABR90,5283580,13%;/BIC/FZRTABR90,2708600,7%;/BIC/FZFIGLR07,2076046,5%                                                |
|2019-05-07  12 ->|2019-19|Tue|2019-05-07|12:00:00|12  |CPU                               |         8.436|           141|2.34        |2.33           |       |          |      1|/BIC/AZRTABA0100,9139744,16%;/BIC/FZRTABR90,5283744,9%                                                                                                     |
|2019-05-07  12 ->|2019-19|Tue|2019-05-07|12:00:00|12  |enq: CR - block range reuse ckpt  |         7.435|           124|2.07        |2.05           |75594  |98.35     |      1|                                                                                                                                                           |
|2019-05-07  12 ->|2019-19|Tue|2019-05-07|12:00:00|12  |OTHER                             |         6.688|           111|1.86        |1.85           |       |          |      1|                                                                                                                                                           |
|2019-05-07  12 ->|2019-19|Tue|2019-05-07|12:00:00|12  |log buffer space                  |         6.382|           106|1.77        |1.76           |11136  |573.08    |      1|                                                                                                                                                           |
|2019-05-07  12 ->|2019-19|Tue|2019-05-07|12:00:00|12  |log file sync                     |         6.299|           105|1.75        |1.74           |37852  |166.42    |      1|I_OBJ1,3203856,63%;SEG$,752512,15%                                                                                                                         |
|2019-05-07  12 ->|2019-19|Tue|2019-05-07|12:00:00|12  |db file sequential read           |         4.867|            81|1.35        |1.34           |563841 |8.63      |      1|/BIC/AZRTABA0100,9144132,22%;/BIC/FZRTABR90,5283580,13%;/BIC/FZRTABR90,2708600,7%;/BIC/FZFIGLR07,2076046,5%                                                |
|2019-05-07  11 ->|2019-19|Tue|2019-05-07|11:00:00|11  |direct path read                  |        49.963|           833|13.88       |13.8           |1067887|46.79     |      1|/BIC/FZRTABR90,5547759,16%;/BIC/FZRTABR90,2844030,8%;/BIC/FZFIGLR07,2224335,6%;/BIC/FZRTABR02,2087008,6%;/BIC/FZRTABR90,1738086,5%                         |
|2019-05-07  11 ->|2019-19|Tue|2019-05-07|11:00:00|11  |OTHER                             |        13.141|           219|3.65        |3.63           |       |          |      1|                                                                                                                                                           |
|2019-05-07  11 ->|2019-19|Tue|2019-05-07|11:00:00|11  |log buffer space                  |         9.143|           152|2.54        |2.53           |12935  |706.8     |      1|                                                                                                                                                           |
|2019-05-07  11 ->|2019-19|Tue|2019-05-07|11:00:00|11  |CPU                               |         7.498|           125|2.08        |2.07           |       |          |      1|/BIC/FZRTABR90,5547824,11%;/BIC/FZRTABR90,2844240,6%                                                                                                       |
|2019-05-07  11 ->|2019-19|Tue|2019-05-07|11:00:00|11  |log file sync                     |         5.397|            90|1.5         |1.49           |41638  |129.61    |      1|I_OBJ1,3272848,65%;SEG$,618576,12%                                                                                                                         |
|2019-05-07  10 ->|2019-19|Tue|2019-05-07|10:00:00|10  |direct path read                  |        51.618|           860|14.34       |14.49          |1136440|45.42     |      1|/BIC/FZRTABR90,6339278,17%;/BIC/FZRTABR90,3250194,8%;/BIC/FZRTABR02,2087008,5%;/BIC/FZFIGLR07,2076046,5%;/BIC/FZRTABR90,1986384,5%                         |
|2019-05-07  10 ->|2019-19|Tue|2019-05-07|10:00:00|10  |OTHER                             |        11.986|           200|3.33        |3.37           |       |          |      1|                                                                                                                                                           |
|2019-05-07  10 ->|2019-19|Tue|2019-05-07|10:00:00|10  |CPU                               |         6.796|           113|1.89        |1.91           |       |          |      1|/BIC/FZRTABR90,6339280,12%;/BIC/FZRTABR90,3250192,6%                                                                                                       |
|2019-05-07  10 ->|2019-19|Tue|2019-05-07|10:00:00|10  |log file sync                     |         6.124|           102|1.7         |1.72           |44344  |138.09    |      1|I_OBJ1,3824960,64%;SEG$,570384,10%                                                                                                                         |
|2019-05-07  10 ->|2019-19|Tue|2019-05-07|10:00:00|10  |log buffer space                  |         5.348|            89|1.49        |1.5            |8890   |601.58    |      1|                                                                                                                                                           |
|2019-05-07  09 ->|2019-19|Tue|2019-05-07|09:00:00|09  |direct path read                  |        34.085|           568|9.47        |9.4            |851624 |40.02     |      1|/BIC/FZRTABR90,7925370,17%;/BIC/FZRTABR90,4062900,9%;/BIC/FZRTABR90,2482980,5%                                                                             |
|2019-05-07  09 ->|2019-19|Tue|2019-05-07|09:00:00|09  |OTHER                             |        10.508|           175|2.92        |2.9            |       |          |      1|                                                                                                                                                           |
|2019-05-07  09 ->|2019-19|Tue|2019-05-07|09:00:00|09  |CPU                               |         7.365|           123|2.05        |2.03           |       |          |      1|/BIC/FZRTABR90,7925696,12%;/BIC/FZRTABR90,4063200,6%                                                                                                       |
|2019-05-07  09 ->|2019-19|Tue|2019-05-07|09:00:00|09  |log file sync                     |         6.789|           113|1.89        |1.87           |73145  |92.82     |      1|I_OBJ1,1950992,30%;SEG$,612896,9%;/BIC/B0001847000,573584,9%;/BIC/AZFIGLD2040,474448,7%;/BIC/AZFIGLA0100,468992,7%                                         |
|2019-05-07  09 ->|2019-19|Tue|2019-05-07|09:00:00|09  |log buffer space                  |         6.014|           100|1.67        |1.66           |11557  |520.35    |      1|                                                                                                                                                           |
|2019-05-07  08 ->|2019-19|Tue|2019-05-07|08:00:00|08  |direct path read                  |        36.366|           606|10.1        |10.05          |882069 |41.23     |      1|/BIC/FZRTABR90,5811938,18%;/BIC/FZRTABR90,2979460,9%;/BIC/FZRTABR02,2087008,6%;/BIC/FZFIGLR07,2076046,6%;/BIC/FZRTABR90,1820852,6%                         |
|2019-05-07  08 ->|2019-19|Tue|2019-05-07|08:00:00|08  |log file sync                     |        13.573|           226|3.77        |3.75           |97161  |139.7     |      1|I_OBJ1,1688304,22%;/BIC/AZFIGLD2000~0,1088976,14%;/BIC/B0001847000,727984,9%;SEG$,625632,8%;/BIC/AZFIGLD2000,555856,7%                                     |
|2019-05-07  08 ->|2019-19|Tue|2019-05-07|08:00:00|08  |OTHER                             |         8.279|           138|2.3         |2.29           |       |          |      1|                                                                                                                                                           |
|2019-05-07  08 ->|2019-19|Tue|2019-05-07|08:00:00|08  |CPU                               |         6.083|           101|1.69        |1.68           |       |          |      1|/BIC/FZRTABR90,5812064,10%;/BIC/FZRTABR90,2979760,5%                                                                                                       |
|2019-05-07  08 ->|2019-19|Tue|2019-05-07|08:00:00|08  |enq: CR - block range reuse ckpt  |         5.615|            94|1.56        |1.55           |70607  |79.53     |      1|                                                                                                                                                           |
|2019-05-07  08 ->|2019-19|Tue|2019-05-07|08:00:00|08  |log buffer space                  |         4.349|            72|1.21        |1.2            |7207   |603.49    |      1|                                                                                                                                                           |
|2019-05-07  07 ->|2019-19|Tue|2019-05-07|07:00:00|07  |CPU                               |           139|             2|.04         |.04            |       |          |      1|EDIDC,1565616,63%                                                                                                                                          |
|2019-05-07  07 ->|2019-19|Tue|2019-05-07|07:00:00|07  |NETWORK                           |            37|             1|.01         |.01            |92322  |.4        |      1|                                                                                                                                                           |
|2019-05-07  07 ->|2019-19|Tue|2019-05-07|07:00:00|07  |OTHER                             |            19|             0|.01         |.01            |       |          |      1|                                                                                                                                                           |
|2019-05-07  06 ->|2019-19|Tue|2019-05-07|06:00:00|06  |direct path read                  |         9.046|           151|2.51        |2.5            |232267 |38.95     |      1|/BIC/FZRTABR90,3434201,16%;/BIC/FZRTABR90,1760590,8%;/BIC/FZRTABR90,1075958,5%                                                                             |
|2019-05-07  06 ->|2019-19|Tue|2019-05-07|06:00:00|06  |CPU                               |         2.260|            38|.63         |.63            |       |          |      1|/BIC/FZRTABR90,3434384,12%;/BIC/FZRTABR90,1760720,6%;EDIDC,1565584,5%                                                                                      |
|2019-05-07  06 ->|2019-19|Tue|2019-05-07|06:00:00|06  |log buffer space                  |         1.703|            28|.47         |.47            |2997   |568.15    |      1|                                                                                                                                                           |
|2019-05-07  06 ->|2019-19|Tue|2019-05-07|06:00:00|06  |OTHER                             |         1.289|            21|.36         |.36            |       |          |      1|                                                                                                                                                           |
